name,region,state,vertical_drop_ft,base_elevation_ft,num_trams,fast_six_lifts,fast_quad_lifts,quad_lifts,triple_lifts,double_lifts,surface_lifts,total_chairs,num_runs,terrain_parks,longest_run_mi,skiable_terrain_acres,snow_making_acres,years_open,average_snowfall_in,adult_weekday_price,adult_weekend_price,projected_days_open,night_skiing_acres,open_rate_last_year,total_lifts
Titus Mountain,New York,New York,1200,825,0,0,0,0,2,6,2,10,50.0,3.0,2.0,200.0,150.0,59.0,150.0,39.0,49.0,100.0,70.0,1.01,10
Toggenburg Mountain,New York,New York,700,1300,0,0,0,0,1,1,3,5,22.0,2.0,0.4,85.0,0.0,66.0,130.0,55.0,55.0,122.0,73.0,0.860655737704918,5
West Mountain,New York,New York,1010,460,0,0,0,0,1,2,2,5,29.0,1.0,0.6,124.0,105.0,58.0,80.0,49.0,59.0,120.0,105.0,0.875,5
Whiteface Mountain Resort,New York,New York,3430,1220,1,0,1,1,2,5,2,12,86.0,5.0,2.1,288.0,220.0,61.0,168.0,96.0,96.0,141.0,0.0,0.8652482269503546,12
Willard Mountain,New York,New York,505,910,0,0,0,0,0,2,3,5,16.0,0.0,0.4,50.0,35.0,19.0,80.0,46.0,46.0,120.0,35.0,0.7083333333333334,5
Windham Mountain,New York,New York,1600,1500,0,1,2,0,3,1,5,12,54.0,6.0,2.0,285.0,280.0,59.0,105.0,85.0,95.0,130.0,56.0,0.9461538461538461,12
Woods Valley Ski Area,New York,New York,500,900,0,0,0,0,0,2,4,6,21.0,0.0,0.3,25.0,16.0,55.0,180.0,31.0,39.0,113.0,15.0,0.9292035398230089,6
Appalachian Ski Mountain,North Carolina,North Carolina,365,3635,0,0,0,2,0,1,2,5,12.0,3.0,0.5,27.0,27.0,57.0,50.0,40.0,64.0,100.0,27.0,1.0,5
Cataloochee Ski Area,North Carolina,North Carolina,740,4660,0,0,0,1,1,1,2,5,18.0,2.0,1.0,50.0,50.0,58.0,50.0,43.0,70.0,108.0,50.0,1.3055555555555556,5
Sapphire Valley,North Carolina,North Carolina,200,3200,0,0,0,1,0,0,2,3,32.0,1.0,1.0,8.0,8.0,55.0,24.0,40.0,43.0,60.0,8.0,0.8833333333333333,3
Beech Mountain Resort,North Carolina,North Carolina,830,4675,0,0,0,3,0,3,2,8,17.0,1.0,1.0,95.0,95.0,52.0,31.0,41.0,68.0,100.0,95.0,0.98,8
Sugar Mountain Resort,North Carolina,North Carolina,1200,4100,0,1,0,0,1,4,2,8,21.0,1.0,1.5,125.0,125.0,50.0,77.0,45.0,75.0,120.0,95.0,0.95,8
Wolf Ridge Ski Resort,North Carolina,North Carolina,720,4000,0,0,0,1,0,1,2,4,15.0,1.0,0.6,65.0,65.0,49.0,65.0,42.0,65.0,100.0,60.0,1.0,4
Alpine Valley,Ohio,Ohio,230,1260,0,0,0,1,2,1,1,5,11.0,1.0,0.2,72.0,72.0,53.0,120.0,43.0,43.0,100.0,72.0,1.05,5
Boston Mills,Ohio,Ohio,264,631,0,0,0,0,4,2,2,8,7.0,2.0,0.3,40.0,40.0,56.0,51.0,44.0,44.0,110.0,40.0,0.8363636363636363,8
Brandywine,Ohio,Ohio,240,631,0,0,0,2,7,2,5,16,11.0,2.0,0.3,85.0,85.0,56.0,51.0,44.0,44.0,110.0,85.0,0.8363636363636363,16
Mad River Mountain,Ohio,Ohio,300,1160,0,0,0,1,2,3,6,12,20.0,4.0,0.5,144.0,144.0,57.0,36.0,39.0,44.0,90.0,144.0,1.1,12
Snow Trails,Ohio,Ohio,301,1174,0,0,0,0,4,2,3,9,17.0,3.0,0.2,80.0,80.0,58.0,50.0,41.0,52.0,70.0,80.0,1.4428571428571428,9
Anthony Lakes Mountain Resort,Oregon,Oregon,900,7100,0,0,0,0,1,0,2,3,21.0,2.0,1.5,1100.0,0.0,56.0,300.0,40.0,40.0,80.0,0.0,0.9375,3
Cooper Spur,Mt. Hood,Oregon,350,3500,0,0,0,0,0,1,1,2,10.0,0.0,0.1,50.0,0.0,66.0,100.0,39.0,39.0,90.0,0.0,0.8666666666666667,2
Hoodoo Ski Area,Oregon,Oregon,1035,4668,0,0,0,3,1,1,0,5,34.0,0.0,0.4,806.0,0.0,81.0,350.0,59.0,59.0,108.0,200.0,0.7407407407407407,5
Mt. Ashland,Oregon,Oregon,1150,6383,0,0,0,0,2,2,1,5,23.0,2.0,1.0,220.0,0.0,55.0,300.0,45.0,52.0,92.0,40.0,1.0217391304347827,5
Mt. Bachelor,Oregon,Oregon,3365,5700,0,0,8,0,3,0,0,11,101.0,5.0,4.0,4318.0,20.0,61.0,462.0,99.0,99.0,185.0,0.0,1.0,11
Mt. Hood Skibowl,Mt. Hood,Oregon,1500,3600,0,0,0,0,0,4,5,9,65.0,2.0,3.0,960.0,29.0,82.0,300.0,70.0,70.0,144.0,317.0,0.8680555555555556,9
Willamette Pass,Oregon,Oregon,1563,5120,0,1,0,0,3,0,1,5,29.0,0.0,2.1,555.0,60.0,78.0,430.0,60.0,60.0,100.0,0.0,0.03,5
Bear Creek Mountain Resort,Pennsylvania,Pennsylvania,510,600,0,0,0,3,1,0,2,6,23.0,3.0,1.0,86.0,86.0,52.0,30.0,50.0,60.0,90.0,86.0,1.011111111111111,6
Ski Big Bear,Pennsylvania,Pennsylvania,650,600,0,0,0,0,0,4,2,6,18.0,1.0,1.5,26.0,26.0,43.0,69.0,50.0,62.0,75.0,26.0,1.0,6
Big Boulder,Pennsylvania,Pennsylvania,600,1700,0,0,0,0,2,5,1,8,16.0,8.0,1.0,55.0,55.0,72.0,50.0,50.0,65.0,95.0,55.0,0.8,8
Blue Knob,Pennsylvania,Pennsylvania,1072,2074,0,0,0,0,2,2,2,6,34.0,1.0,2.0,100.0,84.0,56.0,120.0,43.0,68.0,105.0,42.0,0.8285714285714286,6
Blue Mountain Resort,Pennsylvania,Pennsylvania,1082,460,0,1,1,1,1,3,9,16,39.0,5.0,1.2,164.0,164.0,42.0,33.0,55.0,65.0,112.0,164.0,1.0892857142857142,16
Camelback Mountain Resort,Pennsylvania,Pennsylvania,800,1250,0,0,2,0,3,5,6,16,37.0,5.0,1.0,166.0,166.0,56.0,50.0,55.0,70.0,100.0,160.0,1.0,16
Elk Mountain Ski Resort,Pennsylvania,Pennsylvania,1000,1693,0,0,0,1,0,5,1,7,27.0,2.0,0.7,180.0,146.0,60.0,60.0,55.0,69.0,100.0,90.0,0.99,7
Jack Frost,Pennsylvania,Pennsylvania,600,1400,0,0,0,1,2,5,1,9,20.0,1.0,1.0,100.0,100.0,47.0,50.0,50.0,65.0,105.0,0.0,0.9142857142857143,9
Liberty,Pennsylvania,Pennsylvania,620,570,0,0,0,5,0,0,3,8,16.0,3.0,1.0,100.0,100.0,54.0,31.0,67.0,77.0,97.0,100.0,1.1030927835051547,8
Mount Pleasant of Edinboro,Pennsylvania,Pennsylvania,340,1200,0,0,0,0,1,0,1,2,10.0,0.0,0.5,40.0,35.0,48.0,100.0,30.0,33.0,90.0,35.0,0.8333333333333334,2
Roundtop Mountain Resort,Pennsylvania,Pennsylvania,600,800,0,0,0,3,2,0,3,8,20.0,2.0,0.4,103.0,103.0,55.0,30.0,63.0,73.0,100.0,100.0,0.99,8
Seven Springs,Pennsylvania,Pennsylvania,750,2240,0,2,0,3,5,0,4,14,33.0,7.0,1.2,285.0,285.0,87.0,135.0,67.0,87.0,115.0,200.0,0.8608695652173913,14
Shawnee Mountain Ski Area,Pennsylvania,Pennsylvania,700,650,0,0,1,1,0,4,4,10,23.0,2.0,1.6,125.0,125.0,44.0,50.0,55.0,65.0,122.0,120.0,0.819672131147541,10
Ski Sawmill,Pennsylvania,Pennsylvania,515,1700,0,0,0,0,1,1,3,5,14.0,1.0,0.1,15.0,13.0,50.0,24.0,30.0,44.0,90.0,15.0,1.1,5
Tussey Mountain,Pennsylvania,Pennsylvania,520,1230,0,0,0,1,0,1,3,5,8.0,1.0,0.3,38.0,30.0,39.0,41.0,40.0,45.0,100.0,30.0,1.0,5
Whitetail Resort,Pennsylvania,Pennsylvania,935,865,0,0,1,3,0,2,2,8,23.0,2.0,1.0,120.0,120.0,28.0,40.0,69.0,71.0,100.0,120.0,1.16,8
Deer Mountain Ski Resort,South Dakota,South Dakota,940,6040,0,0,0,0,1,1,2,4,63.0,2.0,1.6,500.0,50.0,51.0,200.0,45.0,45.0,81.0,0.0,0.8518518518518519,4
Terry Peak Ski Area,South Dakota,South Dakota,1100,5900,0,0,3,0,1,0,1,5,30.0,1.0,1.2,450.0,225.0,65.0,150.0,58.0,58.0,120.0,0.0,0.95,5
Ober Gatlinburg Ski Resort,Tennessee,Tennessee,600,2700,0,0,0,2,0,1,1,4,10.0,1.0,1.0,179.0,0.0,44.0,35.0,36.0,65.0,94.0,0.0,0.8829787234042553,4
Alta Ski Area,Salt Lake City,Utah,2538,8530,0,0,3,0,1,2,0,6,116.0,0.0,1.3,2614.0,140.0,81.0,545.0,116.0,116.0,140.0,0.0,1.0714285714285714,6
Beaver Mountain,Utah,Utah,1600,7232,0,0,0,0,1,3,1,5,48.0,2.0,0.8,464.0,0.0,81.0,400.0,50.0,50.0,120.0,0.0,1.0,5
Brian Head Resort,Utah,Utah,1548,9600,0,0,1,0,6,1,0,8,71.0,2.0,0.6,650.0,216.0,54.0,360.0,42.0,59.0,148.0,0.0,1.0067567567567568,8
Brighton Resort,Salt Lake City,Utah,1745,8755,0,0,3,1,1,0,2,7,66.0,4.0,1.2,1050.0,200.0,83.0,500.0,85.0,85.0,138.0,200.0,1.0,7
Deer Valley Resort,Salt Lake City,Utah,3000,6570,1,0,13,0,5,2,0,21,103.0,0.0,2.8,2026.0,660.0,39.0,300.0,169.0,169.0,144.0,0.0,1.0798611111111112,21
Eagle Point,Utah,Utah,1500,9100,0,0,0,1,1,2,1,5,40.0,1.0,0.9,650.0,0.0,9.0,400.0,45.0,60.0,109.0,0.0,1.1376146788990826,5
Powder Mountain,Utah,Utah,2522,6900,0,0,1,4,1,0,3,9,167.0,2.0,3.5,8464.0,0.0,47.0,500.0,88.0,88.0,146.0,300.0,0.821917808219178,9
Snowbasin,Utah,Utah,2900,6450,3,1,2,0,3,0,2,11,107.0,4.0,3.5,3000.0,625.0,79.0,300.0,115.0,115.0,138.0,0.0,1.036231884057971,11
Snowbird,Salt Lake City,Utah,3240,7760,1,0,6,0,0,4,3,14,170.0,1.0,2.5,2500.0,0.0,48.0,500.0,125.0,125.0,180.0,2.0,1.0444444444444445,14
Solitude Mountain Resort,Salt Lake City,Utah,2494,7994,0,0,4,2,1,1,1,9,80.0,0.0,3.0,1200.0,150.0,62.0,500.0,109.0,119.0,148.0,0.0,1.087837837837838,9
Sundance,Utah,Utah,2150,6100,0,0,0,2,2,0,1,5,45.0,1.0,0.6,450.0,112.0,50.0,320.0,80.0,80.0,129.0,0.0,0.9922480620155039,5
Nordic Valley Resort,Utah,Utah,960,5440,0,0,0,0,0,2,2,4,23.0,1.0,0.4,140.0,84.0,51.0,300.0,45.0,50.0,105.0,140.0,1.0,4
Bolton Valley,Vermont,Vermont,1704,1446,0,0,0,2,0,3,1,6,71.0,3.0,0.6,300.0,90.0,53.0,300.0,69.0,79.0,132.0,50.0,1.0075757575757576,6
Bromley Mountain,Vermont,Vermont,1334,1950,0,0,1,1,0,4,3,9,47.0,1.0,2.5,178.0,153.0,83.0,168.0,87.0,91.0,152.0,0.0,0.8848684210526315,9
Burke Mountain,Vermont,Vermont,2011,1210,0,0,2,1,0,0,3,6,50.0,3.0,2.2,178.0,125.0,62.0,217.0,73.0,73.0,125.0,0.0,0.88,6
Jay Peak,Vermont,Vermont,2153,1815,1,0,1,3,1,1,2,9,79.0,2.0,3.0,385.0,300.0,64.0,349.0,89.0,89.0,160.0,0.0,0.96875,9
Killington Resort,Vermont,Vermont,3050,1165,3,1,5,4,3,1,5,22,155.0,6.0,6.0,1515.0,600.0,61.0,250.0,119.0,119.0,133.5,0.0,1.4382022471910112,22
Magic Mountain,Vermont,Vermont,1500,1350,0,0,0,0,0,3,3,6,50.0,1.0,1.6,205.0,95.0,59.0,150.0,74.0,74.0,80.0,0.0,0.95,6
Pico Mountain,Vermont,Vermont,1967,2000,0,0,2,0,2,2,1,7,59.0,1.0,4.0,260.0,156.0,82.0,250.0,81.0,81.0,133.5,0.0,1.0074906367041199,7
Smugglers' Notch Resort,Vermont,Vermont,2610,1030,0,0,0,0,0,6,2,8,78.0,6.0,3.0,1000.0,192.0,63.0,280.0,79.0,79.0,135.0,0.0,1.0074074074074073,8
Sugarbush,Vermont,Vermont,2600,1483,0,0,5,5,2,1,3,16,111.0,4.0,3.0,581.0,406.0,61.0,250.0,119.0,119.0,156.0,0.0,0.9615384615384616,16
Suicide Six,Vermont,Vermont,650,550,0,0,0,0,0,2,1,3,24.0,0.0,0.4,100.0,50.0,85.0,90.0,45.0,75.0,106.0,0.0,0.9433962264150944,3
Bryce Resort,Virginia,Virginia,500,1250,0,0,0,1,0,1,5,7,8.0,0.0,0.4,25.0,25.0,54.0,30.0,43.0,68.0,95.0,20.0,1.0526315789473684,7
49 Degrees North,Washington,Washington,1851,3932,0,0,0,1,0,5,1,7,89.0,1.0,2.0,2325.0,0.0,48.0,301.0,62.0,62.0,135.0,250.0,0.7481481481481481,7
Bluewood,Washington,Washington,1125,4545,0,0,0,0,2,0,1,3,24.0,2.0,2.0,355.0,0.0,40.0,300.0,42.0,47.0,110.0,0.0,0.6363636363636364,3
Crystal Mountain,Washington,Washington,3100,4400,1,2,2,1,2,2,0,10,57.0,1.0,2.5,2600.0,10.0,57.0,486.0,99.0,99.0,137.5,0.0,0.8036363636363636,10
Mt. Baker,Washington,Washington,1500,3500,0,0,0,8,0,0,2,10,38.0,0.0,0.7,1000.0,0.0,66.0,663.0,53.75,60.01,165.0,0.0,0.8666666666666667,10
Mt. Spokane Ski and Snowboard Park,Washington,Washington,2000,4200,0,0,0,0,1,5,1,7,52.0,3.0,0.6,1704.0,0.0,81.0,300.0,45.0,59.0,103.0,45.0,0.970873786407767,7
The Summit at Snoqualmie,Washington,Washington,1025,2840,0,0,3,3,4,10,7,27,112.0,5.0,0.8,1994.0,5.0,82.0,428.0,85.0,95.0,140.0,541.0,0.8571428571428571,27
White Pass,Washington,Washington,2050,4500,0,0,2,1,1,2,2,8,45.0,2.0,2.5,1402.0,30.0,67.0,400.0,69.0,69.0,144.0,90.0,1.0277777777777777,8
Canaan Valley Resort,West Virginia,West Virginia,850,3430,0,0,0,1,2,0,1,4,47.0,1.0,1.2,95.0,75.0,48.0,160.0,52.0,68.0,93.0,0.0,1.2903225806451613,4
Snowshoe Mountain Resort,West Virginia,West Virginia,1500,3348,0,0,3,2,6,0,3,14,60.0,5.0,1.5,257.0,257.0,46.0,180.0,70.0,87.0,138.0,86.0,0.9057971014492754,14
Timberline Four Seasons,West Virginia,West Virginia,1000,3268,0,0,0,0,2,1,1,4,40.0,1.0,2.0,100.0,100.0,37.0,150.0,72.0,92.0,115.0,27.0,0.8434782608695652,4
Winterplace Ski Resort,West Virginia,West Virginia,603,2997,0,0,0,2,3,2,2,9,27.0,2.0,1.2,90.0,90.0,36.0,100.0,56.0,72.0,120.0,74.0,1.0,9
Alpine Valley Resort,Wisconsin,Wisconsin,388,820,0,0,3,0,3,1,5,12,21.0,3.0,0.2,90.0,90.0,55.0,80.0,56.0,65.0,120.0,90.0,0.8333333333333334,12
Bruce Mound,Wisconsin,Wisconsin,375,1000,0,0,0,0,1,0,4,5,12.0,2.0,0.5,40.0,30.0,71.0,42.0,33.0,25.0,42.0,30.0,1.0,5
Cascade Mountain,Wisconsin,Wisconsin,460,820,0,0,2,2,3,2,3,12,47.0,4.0,1.1,175.0,175.0,57.0,56.0,59.0,64.0,120.0,0.0,1.0,12
Christie Mountain,Wisconsin,Wisconsin,350,1300,0,0,0,0,0,1,5,6,30.0,4.0,0.8,45.0,41.0,43.0,48.0,28.0,38.0,120.0,35.0,0.7666666666666667,6
Devils Head,Wisconsin,Wisconsin,500,495,0,0,0,3,1,6,2,12,27.0,1.0,1.0,260.0,260.0,48.0,45.0,45.0,65.0,135.0,200.0,0.8148148148148148,12
Grand Geneva,Wisconsin,Wisconsin,211,875,0,0,0,0,0,3,3,6,20.0,1.0,0.2,30.0,30.0,25.0,25.0,28.0,49.0,93.0,30.0,0.967741935483871,6
Granite Peak Ski Area,Wisconsin,Wisconsin,700,1242,0,1,2,0,2,0,2,7,75.0,4.0,0.6,220.0,160.0,82.0,75.0,92.0,92.0,135.0,200.0,1.0074074074074073,7
Little Switzerland,Wisconsin,Wisconsin,200,1069,0,0,0,0,0,4,4,8,18.0,3.0,1.0,50.0,50.0,58.0,50.0,33.0,41.0,120.0,50.0,0.9166666666666666,8
Mount La Crosse,Wisconsin,Wisconsin,516,594,0,0,0,0,0,3,1,4,19.0,1.0,0.4,100.0,100.0,60.0,40.0,56.0,56.0,100.0,90.0,1.15,4
Sunburst,Wisconsin,Wisconsin,214,866,0,0,0,0,0,3,6,9,13.0,4.0,0.5,37.0,37.0,59.0,50.0,33.0,44.0,115.0,37.0,0.8608695652173913,9
Trollhaugen,Wisconsin,Wisconsin,260,920,0,0,0,2,0,1,5,8,24.0,4.0,0.5,86.0,86.0,69.0,50.0,54.0,54.0,120.0,86.0,1.0833333333333333,8
Tyrol Basin,Wisconsin,Wisconsin,300,860,0,0,0,0,3,0,2,5,18.0,5.0,0.5,32.0,32.0,61.0,41.0,17.0,48.0,103.0,32.0,1.087378640776699,5
Whitecap Mountain,Wisconsin,Wisconsin,400,1295,0,0,0,1,0,4,0,5,43.0,1.0,1.0,400.0,300.0,57.0,200.0,60.0,60.0,118.0,0.0,0.8898305084745762,5
Wilmot Mountain,Wisconsin,Wisconsin,230,800,0,0,0,3,2,2,3,10,23.0,2.0,0.5,135.0,135.0,81.0,70.0,56.0,66.0,139.0,135.0,0.8992805755395683,10
Grand Targhee Resort,Wyoming,Wyoming,2270,7851,0,0,2,2,0,0,1,5,95.0,1.0,2.7,2602.0,0.0,50.0,500.0,90.0,90.0,152.0,0.0,1.0,5
Hogadon Basin,Wyoming,Wyoming,640,7400,0,0,0,0,0,1,1,2,28.0,1.0,0.6,92.0,32.0,61.0,80.0,48.0,48.0,95.0,0.0,1.2736842105263158,2
Sleeping Giant Ski Resort,Wyoming,Wyoming,810,6619,0,0,0,0,1,1,1,3,48.0,1.0,1.0,184.0,18.0,81.0,310.0,42.0,42.0,77.0,0.0,0.7922077922077922,3
Snow King Resort,Wyoming,Wyoming,1571,6237,0,0,0,1,1,1,0,3,32.0,2.0,1.0,400.0,250.0,80.0,300.0,59.0,59.0,123.0,110.0,0.983739837398374,3
Snowy Range Ski & Recreation Area,Wyoming,Wyoming,990,8798,0,0,0,0,1,3,1,5,33.0,2.0,0.7,75.0,30.0,59.0,250.0,49.0,49.0,109.0,0.0,1.201834862385321,5
