adult_weekend_price
49.0
45.0
89.0
79.0
59.0
62.0
47.0
50.0
59.0
49.0
39.0
87.0
64.0
43.0
59.0
60.0
33.0
40.0
48.0
60.0
58.0
73.0
119.0
158.0
75.0
59.0
90.0
17.0
39.0
40.0
65.0
72.0
62.0
50.0
78.0
89.0
45.0
64.0
69.0
93.0
50.0
65.0
52.0
48.0
65.0
89.0
98.0
79.0
42.0
32.0
81.0
73.0
48.0
45.0
59.0
34.0
20.0
50.0
88.0
42.0
35.0
89.0
69.0
35.0
69.0
99.0
55.0
35.34
32.0
81.0
46.0
79.99
79.0
85.0
66.0
92.0
125.0
35.0
52.0
63.0
60.0
64.0
93.0
179.0
78.0
44.0
78.0
30.0
30.0
53.0
47.0
59.0
65.0
46.0
47.0
70.0
60.0
80.0
37.0
63.2
63.0
40.0
110.0
55.0
76.0
20.0
99.0
48.0
169.0
71.0
65.0
89.0
55.0
44.0
48.0
46.0
47.0
92.0
59.0
79.0
47.0
84.0
71.0
50.0
68.0
42.0
43.0
49.0
49.0
85.0
55.0
78.0
45.0
40.0
55.0
99.0
44.0
87.0
69.0
41.0
67.0
57.0
59.0
79.0
55.0
83.0
25.0
84.0
72.0
59.0
25.0
91.0
59.0
69.0
64.0
125.0
39.0
89.0
70.0
40.0
47.0
72.0
58.0
74.0
59.0
68.0
49.0
77.0
49.0
56.0
49.0
56.0
45.0
45.0
20.0
75.0
95.0
159.0
47.0
105.0
52.0
39.0
68.0
119.0
84.0
49.0
77.0
39.0
70.0
71.0
34.0
92.0
79.0
58.0
79.0
60.0
96.0
50.0
79.0
48.0
54.0
72.0
75.0
54.0
50.0
68.0
81.0
85.0
119.0
75.0
32.0
65.0
68.0
49.0
62.0
47.0
